"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"152","Loyola Chicago Ramblers","ncaa","#922247","#FEBD18",NA,NA,"A-10","Loyola","Chicago Ramblers","Loyola Ramblers","https://content.sportslogos.net/logos/32/735/thumbs/73557852019.gif"
"153","Loyola Maryland Greyhounds","ncaa","#00694E","#CACAC8",NA,NA,"Patriot","Loyola","Maryland Greyhounds","Loyola Maryland Greyhounds",NA
"154","Maine Black Bears","ncaa","#003263","#B0D7FF","#AB0634","#908C89","Am. East","Maine","Black Bears","Maine Black Bears","https://content.sportslogos.net/logos/32/738/thumbs/blkfbg8zghmh0m8i7v9lrl5c6.gif"
"155","Manhattan","ncaa","#00703C","#FFFFFF",NA,NA,"MAAC","Manhattan",NA,"Manhattan Jaspers","https://content.sportslogos.net/logos/32/739/thumbs/73917732012.gif"
"156","Marist","ncaa","#C8102E","#B2B2B2","#000000",NA,"MAAC","Marist",NA,"Marist Red Foxes","https://content.sportslogos.net/logos/32/740/thumbs/x8kgikten7tgkyx12bgfx1f9f.gif"
"157","Marquette Golden Eagles","ncaa","#003366","#FFCC00",NA,NA,"Big East","Marquette","Golden Eagles","Marquette Golden Eagles","https://content.sportslogos.net/logos/32/741/thumbs/lk47sf36h6g3y141mktt.gif"
"158","Marshall Thundering Herd","ncaa","#00B140","#A2AAAD","#693F23","#AD7C59","MVC","Marshall","Thundering Herd","Marshall Thundering Herd","https://content.sportslogos.net/logos/32/742/thumbs/74222742015.gif"
"159","Maryland","ncaa","#E03A3E","#FFD520","#FFFFFF","#000000","Big 10","Maryland",NA,"Maryland Terrapins","https://content.sportslogos.net/logos/32/743/thumbs/74354442012.gif"
"160","Massachusetts","ncaa","#971B2F","#572932","#B1B3B3","#000000","A-10","Massachusetts",NA,"Massachusetts Minutemen","https://content.sportslogos.net/logos/32/887/thumbs/88735242021.gif"
"161","McNeese","ncaa","#00529B","#FFD204",NA,NA,"Southland","McNeese",NA,"McNeese",NA
"162","Memphis Tigers","ncaa","#003087","#898D8D",NA,NA,"AAC","Memphis","Tigers","Memphis Tigers","https://content.sportslogos.net/logos/32/746/thumbs/74692712021.gif"
"163","Mercer Bears","ncaa","#CB5307","#000000",NA,NA,"Southern","Mercer","Bears","Mercer Bears","https://content.sportslogos.net/logos/32/747/thumbs/2533.gif"
"164","Merrimack","ncaa","#003768","#ffde00","#8c8a88",NA,"NEC","Merrimack",NA,"Merrimack",NA
"165","Miami (FL)","ncaa","#F47321","#005030","#FFFFFF",NA,"ACC","Miami","(FL)","Miami Hurricanes","https://content.sportslogos.net/logos/32/748/thumbs/2848.gif"
"166","Miami (OH)","ncaa","#B61E2E","#000000",NA,NA,"MAC","Miami","(OH)","Miami (Ohio) Redhawks","https://content.sportslogos.net/logos/32/749/thumbs/74994712014.gif"
"167","Michigan State Spartans","ncaa","#18453B","#FFFFFF",NA,NA,"Big 10","Michigan State","Spartans","Michigan State Spartans","https://content.sportslogos.net/logos/32/751/thumbs/75112152010.gif"
